# Output TH1D: 11 (+/-mu energy )
# BinCenter,Content,BinHalfWidth,Error
50,271,50,16.4621
150,735,50,27.1109
250,954,50,30.8869
350,1010,50,31.7805
450,1028,50,32.0624
550,969,50,31.1288
650,876,50,29.5973
750,859,50,29.3087
850,820,50,28.6356
950,727,50,26.9629
1050,674,50,25.9615
1150,677,50,26.0192
1250,640,50,25.2982
1350,593,50,24.3516
1450,586,50,24.2074
1550,508,50,22.5389
1650,490,50,22.1359
1750,480,50,21.9089
1850,427,50,20.664
1950,433,50,20.8087
2050,365,50,19.105
2150,365,50,19.105
2250,361,50,19
2350,339,50,18.412
2450,334,50,18.2757
2550,330,50,18.1659
2650,315,50,17.7482
2750,256,50,16
2850,270,50,16.4317
2950,230,50,15.1658
3050,251,50,15.843
3150,243,50,15.5885
3250,199,50,14.1067
3350,209,50,14.4568
3450,241,50,15.5242
3550,188,50,13.7113
3650,155,50,12.4499
3750,170,50,13.0384
3850,180,50,13.4164
3950,186,50,13.6382
4050,153,50,12.3693
4150,156,50,12.49
4250,128,50,11.3137
4350,160,50,12.6491
4450,142,50,11.9164
4550,124,50,11.1355
4650,110,50,10.4881
4750,135,50,11.619
4850,110,50,10.4881
4950,103,50,10.1489
5050,112,50,10.583
5150,107,50,10.3441
5250,92,50,9.59166
5350,71,50,8.42615
5450,89,50,9.43398
5550,92,50,9.59166
5650,94,50,9.69536
5750,89,50,9.43398
5850,89,50,9.43398
5950,75,50,8.66025
6050,97,50,9.84886
6150,72,50,8.48528
6250,71,50,8.42615
6350,66,50,8.12404
6450,64,50,8
6550,63,50,7.93725
6650,54,50,7.34847
6750,63,50,7.93725
6850,57,50,7.54983
6950,48,50,6.9282
7050,60,50,7.74597
7150,61,50,7.81025
7250,55,50,7.4162
7350,42,50,6.48074
7450,48,50,6.9282
7550,48,50,6.9282
7650,67,50,8.18535
7750,59,50,7.68115
7850,47,50,6.85565
7950,41,50,6.40312
8050,42,50,6.48074
8150,33,50,5.74456
8250,48,50,6.9282
8350,38,50,6.16441
8450,38,50,6.16441
8550,27,50,5.19615
8650,38,50,6.16441
8750,35,50,5.91608
8850,36,50,6
8950,46,50,6.78233
9050,36,50,6
9150,51,50,7.14143
9250,38,50,6.16441
9350,30,50,5.47723
9450,25,50,5
9550,27,50,5.19615
9650,33,50,5.74456
9750,26,50,5.09902
9850,32,50,5.65685
9950,28,50,5.2915
10050,23,50,4.79583
10150,27,50,5.19615
10250,24,50,4.89898
10350,24,50,4.89898
10450,18,50,4.24264
10550,23,50,4.79583
10650,26,50,5.09902
10750,24,50,4.89898
10850,20,50,4.47214
10950,17,50,4.12311
11050,21,50,4.58258
11150,23,50,4.79583
11250,21,50,4.58258
11350,26,50,5.09902
