# Output TH1D: 12 (proton energy )
# BinCenter,Content,BinHalfWidth,Error
50,2161,50,46.4866
150,1971,50,44.3959
250,1668,50,40.8412
350,1354,50,36.7967
450,1067,50,32.665
550,858,50,29.2916
650,710,50,26.6458
750,590,50,24.2899
850,546,50,23.3666
950,412,50,20.2978
1050,391,50,19.7737
1150,326,50,18.0555
1250,318,50,17.8326
1350,278,50,16.6733
1450,220,50,14.8324
1550,208,50,14.4222
1650,201,50,14.1774
1750,196,50,14
1850,155,50,12.4499
1950,149,50,12.2066
2050,136,50,11.6619
2150,126,50,11.225
2250,141,50,11.8743
2350,117,50,10.8167
2450,120,50,10.9545
2550,114,50,10.6771
2650,105,50,10.247
2750,86,50,9.27362
2850,109,50,10.4403
2950,100,50,10
3050,108,50,10.3923
3150,79,50,8.88819
3250,79,50,8.88819
3350,70,50,8.3666
3450,59,50,7.68115
3550,63,50,7.93725
3650,75,50,8.66025
3750,82,50,9.05539
3850,65,50,8.06226
3950,72,50,8.48528
4050,69,50,8.30662
4150,62,50,7.87401
4250,79,50,8.88819
4350,67,50,8.18535
4450,57,50,7.54983
4550,56,50,7.48331
4650,62,50,7.87401
4750,61,50,7.81025
4850,78,50,8.83176
4950,63,50,7.93725
5050,49,50,7
5150,57,50,7.54983
5250,50,50,7.07107
5350,64,50,8
5450,47,50,6.85565
5550,64,50,8
5650,61,50,7.81025
5750,47,50,6.85565
5850,54,50,7.34847
5950,57,50,7.54983
6050,65,50,8.06226
6150,52,50,7.2111
6250,69,50,8.30662
6350,52,50,7.2111
6450,51,50,7.14143
6550,46,50,6.78233
6650,37,50,6.08276
6750,40,50,6.32456
6850,57,50,7.54983
6950,43,50,6.55744
7050,49,50,7
7150,47,50,6.85565
7250,56,50,7.48331
7350,59,50,7.68115
7450,48,50,6.9282
7550,46,50,6.78233
7650,45,50,6.7082
7750,41,50,6.40312
7850,57,50,7.54983
7950,47,50,6.85565
8050,46,50,6.78233
8150,39,50,6.245
8250,37,50,6.08276
8350,39,50,6.245
8450,26,50,5.09902
8550,56,50,7.48331
8650,48,50,6.9282
8750,37,50,6.08276
8850,42,50,6.48074
8950,45,50,6.7082
9050,46,50,6.78233
9150,39,50,6.245
9250,38,50,6.16441
9350,48,50,6.9282
9450,43,50,6.55744
9550,48,50,6.9282
9650,36,50,6
9750,54,50,7.34847
9850,63,50,7.93725
9950,203,50,14.2478
10050,691,50,26.2869
10150,694,50,26.3439
10250,607,50,24.6374
10350,647,50,25.4362
10450,678,50,26.0384
10550,656,50,25.6125
10650,618,50,24.8596
10750,631,50,25.1197
10850,641,50,25.318
10950,578,50,24.0416
11050,586,50,24.2074
11150,560,50,23.6643
11250,633,50,25.1595
11350,592,50,24.3311
11450,603,50,24.5561
11550,553,50,23.516
11650,587,50,24.2281
11750,585,50,24.1868
11850,550,50,23.4521
11950,545,50,23.3452
12050,565,50,23.7697
12150,564,50,23.7487
12250,507,50,22.5167
12350,503,50,22.4277
12450,503,50,22.4277
12550,544,50,23.3238
12650,532,50,23.0651
12750,524,50,22.891
12850,523,50,22.8692
12950,515,50,22.6936
13050,527,50,22.9565
13150,517,50,22.7376
13250,514,50,22.6716
13350,488,50,22.0907
13450,454,50,21.3073
13550,529,50,23
13650,500,50,22.3607
13750,458,50,21.4009
13850,451,50,21.2368
13950,502,50,22.4054
14050,456,50,21.3542
14150,465,50,21.5639
14250,461,50,21.4709
14350,448,50,21.166
14450,429,50,20.7123
14550,456,50,21.3542
14650,435,50,20.8567
14750,439,50,20.9523
14850,379,50,19.4679
14950,441,50,21
15050,462,50,21.4942
15150,445,50,21.095
15250,398,50,19.9499
15350,441,50,21
15450,398,50,19.9499
15550,373,50,19.3132
15650,416,50,20.3961
15750,385,50,19.6214
15850,390,50,19.7484
15950,377,50,19.4165
16050,341,50,18.4662
16150,369,50,19.2094
16250,385,50,19.6214
16350,317,50,17.8045
16450,387,50,19.6723
16550,335,50,18.303
16650,358,50,18.9209
16750,360,50,18.9737
16850,330,50,18.1659
16950,343,50,18.5203
17050,334,50,18.2757
17150,336,50,18.3303
17250,310,50,17.6068
17350,278,50,16.6733
17450,310,50,17.6068
17550,299,50,17.2916
17650,313,50,17.6918
17750,286,50,16.9115
17850,293,50,17.1172
17950,308,50,17.5499
18050,280,50,16.7332
18150,289,50,17
18250,277,50,16.6433
18350,232,50,15.2315
18450,252,50,15.8745
18550,277,50,16.6433
18650,262,50,16.1864
18750,236,50,15.3623
18850,253,50,15.906
18950,254,50,15.9374
19050,229,50,15.1327
19150,243,50,15.5885
19250,232,50,15.2315
19350,215,50,14.6629
19450,236,50,15.3623
19550,232,50,15.2315
19650,205,50,14.3178
19750,193,50,13.8924
19850,204,50,14.2829
19950,200,50,14.1421
20050,202,50,14.2127
20150,178,50,13.3417
20250,192,50,13.8564
20350,194,50,13.9284
20450,196,50,14
20550,174,50,13.1909
20650,181,50,13.4536
20750,191,50,13.8203
20850,205,50,14.3178
20950,184,50,13.5647
21050,166,50,12.8841
21150,214,50,14.6287
21250,181,50,13.4536
21350,185,50,13.6015
21450,193,50,13.8924
21550,198,50,14.0712
21650,159,50,12.6095
21750,182,50,13.4907
21850,174,50,13.1909
21950,190,50,13.784
22050,179,50,13.3791
22150,190,50,13.784
22250,206,50,14.3527
22350,166,50,12.8841
22450,198,50,14.0712
22550,197,50,14.0357
22650,184,50,13.5647
22750,173,50,13.1529
22850,177,50,13.3041
22950,170,50,13.0384
23050,158,50,12.5698
23150,187,50,13.6748
23250,178,50,13.3417
23350,152,50,12.3288
23450,187,50,13.6748
23550,145,50,12.0416
23650,153,50,12.3693
23750,147,50,12.1244
23850,155,50,12.4499
23950,154,50,12.4097
24050,160,50,12.6491
24150,148,50,12.1655
24250,148,50,12.1655
24350,174,50,13.1909
24450,127,50,11.2694
24550,152,50,12.3288
24650,157,50,12.53
24750,155,50,12.4499
24850,124,50,11.1355
24950,144,50,12
25050,135,50,11.619
