# Output TH1D: 13 (+/-pion energy )
# BinCenter,Content,BinHalfWidth,Error
50,2,50,1.41421
150,3,50,1.73205
250,12,50,3.4641
350,9,50,3
450,13,50,3.60555
550,8,50,2.82843
650,16,50,4
750,13,50,3.60555
850,9,50,3
950,11,50,3.31662
1050,10,50,3.16228
1150,18,50,4.24264
1250,15,50,3.87298
1350,12,50,3.4641
1450,7,50,2.64575
1550,12,50,3.4641
1650,10,50,3.16228
1750,10,50,3.16228
1850,19,50,4.3589
1950,12,50,3.4641
2050,4,50,2
2150,13,50,3.60555
2250,10,50,3.16228
2350,7,50,2.64575
2450,14,50,3.74166
2550,9,50,3
2650,9,50,3
2750,6,50,2.44949
2850,10,50,3.16228
2950,6,50,2.44949
3050,11,50,3.31662
3150,7,50,2.64575
3250,6,50,2.44949
3350,6,50,2.44949
3450,2,50,1.41421
3550,4,50,2
3650,5,50,2.23607
3750,5,50,2.23607
3850,8,50,2.82843
3950,6,50,2.44949
4050,8,50,2.82843
4150,6,50,2.44949
4250,8,50,2.82843
4350,9,50,3
4450,6,50,2.44949
4550,8,50,2.82843
4650,3,50,1.73205
4750,1,50,1
4850,9,50,3
4950,4,50,2
5050,1,50,1
5150,2,50,1.41421
5250,3,50,1.73205
5350,3,50,1.73205
5450,5,50,2.23607
5550,9,50,3
5650,6,50,2.44949
5750,3,50,1.73205
5850,3,50,1.73205
5950,6,50,2.44949
6050,5,50,2.23607
6150,5,50,2.23607
6250,6,50,2.44949
6350,3,50,1.73205
6450,9,50,3
6550,2,50,1.41421
6650,5,50,2.23607
6750,4,50,2
6850,4,50,2
6950,4,50,2
7050,4,50,2
7150,2,50,1.41421
7250,3,50,1.73205
7350,2,50,1.41421
7450,2,50,1.41421
7550,3,50,1.73205
7650,3,50,1.73205
7750,2,50,1.41421
7850,3,50,1.73205
7950,4,50,2
8050,2,50,1.41421
8150,4,50,2
8250,2,50,1.41421
8350,1,50,1
8450,2,50,1.41421
8550,1,50,1
8650,2,50,1.41421
8750,3,50,1.73205
8850,5,50,2.23607
8950,2,50,1.41421
9050,5,50,2.23607
9150,3,50,1.73205
9250,4,50,2
9350,1,50,1
9450,5,50,2.23607
9550,0,50,0
9650,3,50,1.73205
9750,7,50,2.64575
9850,7,50,2.64575
9950,1,50,1
10050,0,50,0
10150,2,50,1.41421
10250,3,50,1.73205
10350,4,50,2
10450,1,50,1
10550,4,50,2
10650,1,50,1
10750,0,50,0
10850,2,50,1.41421
10950,3,50,1.73205
11050,0,50,0
11150,2,50,1.41421
11250,2,50,1.41421
11350,0,50,0
11450,5,50,2.23607
11550,3,50,1.73205
11650,3,50,1.73205
11750,1,50,1
11850,2,50,1.41421
11950,2,50,1.41421
12050,1,50,1
12150,2,50,1.41421
12250,0,50,0
12350,3,50,1.73205
12450,2,50,1.41421
12550,1,50,1
12650,5,50,2.23607
12750,4,50,2
12850,1,50,1
12950,2,50,1.41421
13050,0,50,0
13150,1,50,1
13250,1,50,1
13350,2,50,1.41421
13450,1,50,1
13550,1,50,1
13650,5,50,2.23607
13750,3,50,1.73205
13850,1,50,1
13950,1,50,1
14050,1,50,1
14150,3,50,1.73205
14250,2,50,1.41421
14350,3,50,1.73205
14450,3,50,1.73205
14550,1,50,1
14650,3,50,1.73205
14750,1,50,1
14850,1,50,1
14950,3,50,1.73205
15050,1,50,1
15150,2,50,1.41421
15250,3,50,1.73205
15350,0,50,0
15450,1,50,1
15550,3,50,1.73205
15650,2,50,1.41421
15750,0,50,0
15850,2,50,1.41421
15950,1,50,1
16050,2,50,1.41421
16150,1,50,1
16250,3,50,1.73205
16350,4,50,2
16450,1,50,1
16550,2,50,1.41421
16650,0,50,0
16750,6,50,2.44949
16850,3,50,1.73205
16950,3,50,1.73205
17050,0,50,0
17150,0,50,0
17250,1,50,1
17350,0,50,0
17450,1,50,1
17550,1,50,1
17650,0,50,0
17750,2,50,1.41421
17850,1,50,1
17950,0,50,0
18050,1,50,1
18150,0,50,0
18250,2,50,1.41421
18350,4,50,2
18450,5,50,2.23607
18550,1,50,1
18650,3,50,1.73205
18750,0,50,0
18850,3,50,1.73205
18950,1,50,1
19050,2,50,1.41421
19150,0,50,0
19250,2,50,1.41421
19350,0,50,0
19450,1,50,1
19550,1,50,1
19650,2,50,1.41421
19750,1,50,1
19850,0,50,0
19950,1,50,1
20050,0,50,0
20150,2,50,1.41421
20250,0,50,0
20350,1,50,1
20450,0,50,0
20550,3,50,1.73205
20650,1,50,1
20750,0,50,0
20850,1,50,1
20950,2,50,1.41421
21050,0,50,0
21150,1,50,1
21250,1,50,1
21350,1,50,1
21450,1,50,1
21550,1,50,1
21650,1,50,1
21750,5,50,2.23607
21850,1,50,1
21950,2,50,1.41421
22050,1,50,1
22150,1,50,1
22250,1,50,1
22350,0,50,0
22450,1,50,1
22550,0,50,0
22650,0,50,0
22750,1,50,1
22850,0,50,0
22950,0,50,0
23050,1,50,1
23150,0,50,0
23250,0,50,0
23350,3,50,1.73205
23450,0,50,0
23550,2,50,1.41421
23650,0,50,0
23750,1,50,1
23850,0,50,0
23950,2,50,1.41421
24050,0,50,0
24150,0,50,0
24250,0,50,0
24350,0,50,0
24450,2,50,1.41421
24550,1,50,1
24650,0,50,0
24750,0,50,0
24850,1,50,1
24950,0,50,0
25050,1,50,1
25150,0,50,0
25250,1,50,1
25350,0,50,0
25450,2,50,1.41421
25550,0,50,0
25650,2,50,1.41421
25750,0,50,0
25850,0,50,0
25950,1,50,1
26050,0,50,0
26150,1,50,1
26250,3,50,1.73205
26350,1,50,1
26450,1,50,1
26550,0,50,0
26650,0,50,0
26750,0,50,0
26850,1,50,1
26950,0,50,0
27050,4,50,2
27150,0,50,0
27250,0,50,0
27350,0,50,0
27450,1,50,1
27550,1,50,1
27650,0,50,0
27750,0,50,0
27850,1,50,1
27950,1,50,1
28050,0,50,0
28150,0,50,0
28250,0,50,0
28350,0,50,0
28450,1,50,1
28550,2,50,1.41421
28650,1,50,1
28750,0,50,0
28850,0,50,0
28950,1,50,1
29050,1,50,1
29150,0,50,0
29250,0,50,0
29350,0,50,0
29450,2,50,1.41421
29550,0,50,0
29650,1,50,1
29750,0,50,0
29850,0,50,0
29950,1,50,1
30050,0,50,0
30150,0,50,0
30250,1,50,1
30350,1,50,1
30450,1,50,1
30550,0,50,0
30650,0,50,0
30750,0,50,0
30850,0,50,0
30950,0,50,0
31050,0,50,0
31150,1,50,1
31250,0,50,0
31350,1,50,1
31450,0,50,0
31550,0,50,0
31650,2,50,1.41421
31750,0,50,0
31850,1,50,1
31950,0,50,0
32050,0,50,0
32150,0,50,0
32250,1,50,1
32350,1,50,1
32450,0,50,0
32550,1,50,1
32650,0,50,0
32750,0,50,0
32850,0,50,0
32950,0,50,0
33050,1,50,1
33150,0,50,0
33250,0,50,0
33350,0,50,0
33450,1,50,1
33550,0,50,0
33650,0,50,0
33750,1,50,1
33850,1,50,1
33950,0,50,0
34050,0,50,0
34150,1,50,1
34250,0,50,0
34350,1,50,1
34450,1,50,1
34550,0,50,0
34650,1,50,1
34750,0,50,0
34850,0,50,0
34950,0,50,0
35050,0,50,0
35150,0,50,0
35250,2,50,1.41421
35350,0,50,0
35450,0,50,0
35550,0,50,0
35650,1,50,1
35750,0,50,0
35850,0,50,0
35950,0,50,0
36050,0,50,0
36150,1,50,1
36250,1,50,1
36350,1,50,1
36450,2,50,1.41421
36550,0,50,0
36650,0,50,0
36750,0,50,0
36850,1,50,1
36950,0,50,0
37050,1,50,1
37150,0,50,0
37250,0,50,0
37350,0,50,0
37450,1,50,1
37550,0,50,0
37650,1,50,1
37750,1,50,1
37850,0,50,0
37950,0,50,0
38050,0,50,0
38150,0,50,0
38250,1,50,1
38350,0,50,0
38450,1,50,1
38550,1,50,1
38650,0,50,0
38750,1,50,1
38850,0,50,0
38950,1,50,1
39050,1,50,1
39150,0,50,0
39250,0,50,0
39350,0,50,0
39450,0,50,0
39550,0,50,0
39650,0,50,0
39750,0,50,0
39850,1,50,1
39950,0,50,0
40050,1,50,1
40150,0,50,0
40250,0,50,0
40350,0,50,0
40450,0,50,0
40550,0,50,0
40650,0,50,0
40750,0,50,0
40850,0,50,0
40950,0,50,0
41050,1,50,1
41150,0,50,0
41250,0,50,0
41350,0,50,0
41450,0,50,0
41550,0,50,0
41650,0,50,0
41750,0,50,0
41850,0,50,0
41950,1,50,1
42050,0,50,0
42150,0,50,0
42250,0,50,0
42350,1,50,1
42450,0,50,0
42550,0,50,0
42650,1,50,1
42750,0,50,0
42850,0,50,0
42950,0,50,0
43050,0,50,0
43150,0,50,0
43250,0,50,0
43350,1,50,1
43450,0,50,0
43550,0,50,0
43650,0,50,0
43750,0,50,0
43850,0,50,0
43950,0,50,0
